Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
50,Bucknell (Patriot),35,25-10,"2,410",68.9,"2,147",61.3,7.5
76,Buffalo (MAC),31,20-11,"2,262",73,"2,090",67.4,5.5
133,Butler (Horizon),37,22-15,"2,352",63.6,"2,245",60.7,2.9
19,BYU (WCC),35,26-9,"2,727",77.9,"2,358",67.4,10.5
105,Cal Poly (Big West),33,18-15,"2,136",64.7,"1,998",60.5,4.2
57,Cal St. Fullerton (Big West),31,21-10,"2,417",78,"2,205",71.1,6.8
34,California (Pac-12),34,24-10,"2,419",71.1,"2,104",61.9,9.3
182,Campbell (Big South),32,17-15,"2,370",74.1,"2,361",73.8,0.3
318,Canisius (MAAC),30,5-25,"1,965",65.5,"2,271",75.7,-10.2
320,Central Ark. (Southland),29,8-21,"2,058",71,"2,371",81.8,-10.8
193,Central Conn. St. (NEC),29,13-16,"2,029",70,"2,038",70.3,-0.3
274,Central Mich. (MAC),32,11-21,"1,980",61.9,"2,134",66.7,-4.8
94,Charleston So. (Big South),31,19-12,"2,383",76.9,"2,242",72.3,4.5
225,Charlotte (Atlantic 10),30,13-17,"2,010",67,"2,066",68.9,-1.9
152,Chattanooga (SoCon),32,11-21,"2,260",70.6,"2,204",68.9,1.8
336,Chicago St. (GWC),30,4-26,"1,884",62.8,"2,313",77.1,-14.3
60,Cincinnati (AAC),37,26-11,"2,522",68.2,"2,276",61.5,6.6
109,Clemson (ACC),31,16-15,"2,001",64.5,"1,880",60.6,3.9
73,Cleveland St. (Horizon),33,22-11,"2,177",66,"1,983",60.1,5.9
61,Coastal Carolina (Big South),31,19-12,"2,248",72.5,"2,042",65.9,6.6
142,Col. of Charleston (SoCon),31,19-12,"2,191",70.7,"2,117",68.3,2.4
319,Colgate (Patriot),30,8-22,"1,893",63.1,"2,209",73.6,-10.5
147,Colorado St. (Mountain West),32,20-12,"2,243",70.1,"2,177",68,2.1
97,Colorado (Pac-12),36,24-12,"2,429",67.5,"2,269",63,4.4
125,Columbia (Ivy League),30,15-15,"1,955",65.2,"1,863",62.1,3.1
218,Coppin St. (MEAC),30,14-16,"2,213",73.8,"2,257",75.2,-1.5
238,Cornell (Ivy League),28,12-16,"1,833",65.5,"1,898",67.8,-2.3
30,Creighton (MVC),35,29-6,"2,772",79.2,"2,439",69.7,9.5
210,CSU Bakersfield (Independent),31,16-15,"2,121",68.4,"2,154",69.5,-1.1
293,CSUN (Big West),28,7-21,"1,908",68.1,"2,101",75,-6.9
285,Dartmouth (Ivy League),30,5-25,"1,727",57.6,"1,904",63.5,-5.9
24,Davidson (SoCon),33,25-8,"2,571",77.9,"2,238",67.8,10.1
105,Dayton (Atlantic 10),33,20-13,"2,369",71.8,"2,231",67.6,4.2
153,Delaware St. (MEAC),29,15-14,"1,917",66.1,"1,868",64.4,1.7
179,Delaware (CAA),32,18-14,"2,206",68.9,"2,188",68.4,0.6
48,Denver (Sun Belt),31,22-9,"2,112",68.1,"1,876",60.5,7.6
242,DePaul (AAC),31,12-19,"2,298",74.1,"2,378",76.7,-2.6
92,Detroit Mercy (Horizon),36,22-14,"2,597",72.1,"2,432",67.6,4.6
186,Drake (MVC),34,18-16,"2,279",67,"2,271",66.8,0.2
36,Drexel (CAA),36,29-7,"2,350",65.3,"2,020",56.1,9.2
40,Duke (ACC),34,27-7,"2,628",77.3,"2,334",68.6,8.6
176,Duquesne (Atlantic 10),31,16-15,"2,252",72.6,"2,232",72,0.6
112,East Carolina (C-USA),31,15-16,"2,136",68.9,"2,019",65.1,3.8
249,Eastern Ill. (OVC),29,12-17,"1,896",65.4,"1,984",68.4,-3
187,Eastern Ky. (OVC),32,16-16,"2,123",66.3,"2,117",66.2,0.2
281,Eastern Mich. (MAC),32,14-18,"1,704",53.3,"1,878",58.7,-5.4
161,Eastern Wash. (Big Sky),32,15-17,"2,326",72.7,"2,284",71.4,1.3
222,Elon (SoCon),31,15-16,"2,175",70.2,"2,226",71.8,-1.6
139,ETSU (ASUN),31,17-14,"2,098",67.7,"2,017",65.1,2.6
170,Evansville (MVC),32,16-16,"2,351",73.5,"2,325",72.7,0.8
102,Fairfield (MAAC),37,22-15,"2,417",65.3,"2,259",61.1,4.3
327,Fairleigh Dickinson (NEC),29,3-26,"1,762",60.8,"2,108",72.7,-11.9
192,FGCU (ASUN),32,15-17,"2,306",72.1,"2,306",72.1,0
264,FIU (Sun Belt),29,8-21,"1,836",63.3,"1,951",67.3,-4
237,Fla. Atlantic (Sun Belt),30,11-19,"1,977",65.9,"2,046",68.2,-2.3
300,Florida A&M (MEAC),33,10-23,"2,175",65.9,"2,416",73.2,-7.3
56,Florida St. (ACC),35,25-10,"2,443",69.8,"2,201",62.9,6.9
15,Florida (SEC),37,26-11,"2,808",75.9,"2,404",65,10.9
316,Fordham (Atlantic 10),29,10-19,"1,797",62,"2,074",71.5,-9.6
195,Fresno St. (WAC),33,13-20,"2,170",65.8,"2,181",66.1,-0.3
203,Furman (SoCon),31,15-16,"2,006",64.7,"2,022",65.2,-0.5
209,Ga. Southern (SoCon),30,15-15,"2,002",66.7,"2,033",67.8,-1
211,Gardner-Webb (Big South),32,12-20,"2,103",65.7,"2,138",66.8,-1.1
79,George Mason (CAA),33,24-9,"2,323",70.4,"2,142",64.9,5.5
273,George Washington (Atlantic 10),31,10-21,"1,921",62,"2,069",66.7,-4.8
29,Georgetown (AAC),33,24-9,"2,278",69,"1,959",59.4,9.7
38,Georgia St. (CAA),34,22-12,"2,298",67.6,"2,003",58.9,8.7
239,Georgia Tech (ACC),31,11-20,"1,866",60.2,"1,940",62.6,-2.4
230,Georgia (SEC),32,15-17,"1,950",60.9,"2,015",63,-2
18,Gonzaga (WCC),33,26-7,"2,436",73.8,"2,086",63.2,10.6
337,Grambling (SWAC),28,4-24,"1,513",54,"2,001",71.5,-17.4
219,Green Bay (Horizon),30,15-15,"1,935",64.5,"1,982",66.1,-1.6
234,Hampton (MEAC),33,12-21,"2,134",64.7,"2,205",66.8,-2.2
299,Hartford (America East),31,9-22,"1,860",60,"2,084",67.2,-7.2
25,Harvard (Ivy League),31,26-5,"2,033",65.6,"1,724",55.6,10
207,Hawaii (WAC),32,16-16,"2,356",73.6,"2,387",74.6,-1
169,High Point (Big South),31,13-18,"2,203",71.1,"2,176",70.2,0.9
226,Hofstra (CAA),32,10-22,"2,091",65.3,"2,151",67.2,-1.9
224,Holy Cross (Patriot),29,15-14,"1,886",65,"1,938",66.8,-1.8
270,Houston Baptist (GWC),30,10-20,"2,208",73.6,"2,344",78.1,-4.5
188,Houston (C-USA),30,15-15,"2,152",71.7,"2,147",71.6,0.2
315,Howard (MEAC),31,10-21,"1,881",60.7,"2,174",70.1,-9.5
297,Idaho St. (Big Sky),30,9-21,"1,979",66,"2,192",73.1,-7.1
151,Idaho (WAC),33,19-14,"2,298",69.6,"2,240",67.9,1.8
115,Illinois St. (MVC),35,21-14,"2,439",69.7,"2,310",66,3.7
160,Illinois (Big Ten),32,17-15,"2,098",65.6,"2,055",64.2,1.3
205,Indiana St. (MVC),33,18-15,"2,120",64.2,"2,141",64.9,-0.6
16,Indiana (Big Ten),36,27-9,"2,782",77.3,"2,392",66.4,10.8
23,Iona (MAAC),33,25-8,"2,736",82.9,"2,400",72.7,10.2
71,Iowa St. (Big 12),34,23-11,"2,490",73.2,"2,286",67.2,6
180,Iowa (Big Ten),35,18-17,"2,555",73,"2,537",72.5,0.5
194,IUPUI (Summit League),32,14-18,"2,319",72.5,"2,329",72.8,-0.3
317,Jackson St. (SWAC),31,7-24,"1,737",56,"2,042",65.9,-9.8
166,Jacksonville St. (OVC),33,15-18,"2,143",64.9,"2,106",63.8,1.1
302,Jacksonville (ASUN),30,8-22,"1,951",65,"2,173",72.4,-7.4
262,James Madison (CAA),32,12-20,"2,115",66.1,"2,235",69.8,-3.8
290,Kansas City (Summit League),31,10-21,"1,998",64.5,"2,204",71.1,-6.6
55,Kansas St. (Big 12),33,22-11,"2,343",71,"2,114",64.1,6.9
12,Kansas (Big 12),39,32-7,"2,865",73.5,"2,407",61.7,11.7
332,Kennesaw St. (ASUN),31,3-28,"1,920",61.9,"2,330",75.2,-13.2
99,Kent St. (MAC),33,21-12,"2,322",70.4,"2,178",66,4.4
1,Kentucky (SEC),40,38-2,"3,095",77.4,"2,423",60.6,16.8
58,La Salle (Atlantic 10),34,21-13,"2,478",72.9,"2,249",66.1,6.7
253,Lafayette (Patriot),31,13-18,"2,161",69.7,"2,260",72.9,-3.2
45,Lamar University (Southland),35,23-12,"2,573",73.5,"2,296",65.6,7.9
21,Lehigh (Patriot),35,27-8,"2,648",75.7,"2,288",65.4,10.3
241,Liberty (Big South),32,14-18,"2,201",68.8,"2,283",71.3,-2.6
228,Lipscomb (ASUN),31,13-18,"2,242",72.3,"2,303",74.3,-2
203,Little Rock (Sun Belt),31,15-16,"1,974",63.7,"1,990",64.2,-0.5
113,LIU (NEC),34,25-9,"2,769",81.4,"2,641",77.7,3.8
127,LMU (CA) (WCC),34,21-13,"2,402",70.6,"2,301",67.7,3
26,Long Beach St. (Big West),34,25-9,"2,510",73.8,"2,175",64,9.9
324,Longwood (Independent),31,10-21,"2,276",73.4,"2,617",84.4,-11
190,Louisiana Tech (WAC),34,18-16,"2,358",69.4,"2,355",69.3,0.1
167,Louisiana (Sun Belt),32,16-16,"2,189",68.4,"2,155",67.3,1.1
53,Louisville (AAC),40,30-10,"2,727",68.2,"2,440",61,7.2
282,Loyola Chicago (Horizon),30,7-23,"1,717",57.2,"1,887",62.9,-5.7
123,Loyola Maryland (MAAC),33,24-9,"2,222",67.3,"2,120",64.2,3.1
165,LSU (SEC),33,18-15,"2,157",65.4,"2,119",64.2,1.2
185,Maine (America East),29,12-17,"1,989",68.6,"1,982",68.3,0.2
75,Manhattan (MAAC),34,21-13,"2,420",71.2,"2,230",65.6,5.6
275,Marist (MAAC),32,14-18,"2,176",68,"2,333",72.9,-4.9
31,Marquette (AAC),35,27-8,"2,638",75.4,"2,308",65.9,9.4
140,Marshall (C-USA),35,21-14,"2,472",70.6,"2,383",68.1,2.5
230,Maryland (ACC),32,17-15,"2,198",68.7,"2,263",70.7,-2
96,Massachusetts (Atlantic 10),37,25-12,"2,847",76.9,"2,680",72.4,4.5
175,McNeese (Southland),33,17-16,"2,207",66.9,"2,185",66.2,0.7
13,Memphis (C-USA),35,26-9,"2,614",74.7,"2,208",63.1,11.6
85,Mercer (ASUN),38,27-11,"2,589",68.1,"2,388",62.8,5.3
93,Miami (FL) (ACC),33,20-13,"2,332",70.7,"2,181",66.1,4.6
258,Miami (OH) (MAC),30,9-21,"1,821",60.7,"1,927",64.2,-3.5
10,Michigan St. (Big Ten),37,29-8,"2,651",71.6,"2,195",59.3,12.3
88,Michigan (Big Ten),34,24-10,"2,255",66.3,"2,090",61.5,4.9
28,Middle Tenn. (Sun Belt),34,27-7,"2,459",72.3,"2,128",62.6,9.7
154,Milwaukee (Horizon),34,20-14,"2,183",64.2,"2,126",62.5,1.7
134,Minnesota (Big Ten),38,23-15,"2,569",67.6,"2,462",64.8,2.8
101,Mississippi St. (SEC),33,21-12,"2,377",72,"2,236",67.8,4.3
198,Mississippi Val. (SWAC),34,21-13,"2,332",68.6,"2,345",69,-0.4
131,Missouri St. (MVC),32,16-16,"2,108",65.9,"2,015",63,2.9
5,Missouri (Big 12),35,30-5,"2,814",80.4,"2,321",66.3,14.1
308,Monmouth (NEC),32,12-20,"2,140",66.9,"2,420",75.6,-8.8
229,Montana St. (Big Sky),29,12-17,"2,030",70,"2,088",72,-2
44,Montana (Big Sky),32,25-7,"2,239",70,"1,985",62,7.9
156,Morehead St. (OVC),33,18-15,"2,070",62.7,"2,018",61.2,1.6
246,Morgan St. (MEAC),29,9-20,"1,934",66.7,"2,017",69.6,-2.9
291,Mount St. Mary's (NEC),29,8-21,"1,748",60.3,"1,946",67.1,-6.8
9,Murray St. (OVC),33,31-2,"2,412",73.1,"2,001",60.6,12.5
245,N.C. A&T (MEAC),32,12-20,"2,236",69.9,"2,326",72.7,-2.8
49,N.C. Central (MEAC),32,17-15,"2,263",70.7,"2,020",63.1,7.6
305,Navy (Patriot),29,3-26,"1,678",57.9,"1,920",66.2,-8.3
84,NC State (ACC),37,24-13,"2,697",72.9,"2,501",67.6,5.3
271,Nebraska (Big Ten),30,12-18,"1,827",60.9,"1,969",65.6,-4.7
86,Nevada (WAC),35,28-7,"2,461",70.3,"2,277",65.1,5.3
221,New Hampshire (America East),29,13-16,"1,774",61.2,"1,821",62.8,-1.6
27,New Mexico St. (WAC),36,26-10,"2,812",78.1,"2,459",68.3,9.8
6,New Mexico (Mountain West),35,28-7,"2,545",72.7,"2,076",59.3,13.4
263,Niagara (MAAC),33,14-19,"2,322",70.4,"2,448",74.2,-3.8
326,Nicholls (Southland),30,10-20,"1,989",66.3,"2,338",77.9,-11.6
148,NJIT (GWC),32,15-17,"2,236",69.9,"2,175",68,1.9
149,Norfolk St. (MEAC),36,26-10,"2,482",68.9,"2,416",67.1,1.8
4,North Carolina (ACC),38,32-6,"3,091",81.3,"2,549",67.1,14.3
89,North Dakota St. (Summit League),31,17-14,"2,267",73.1,"2,119",68.4,4.8
250,North Florida (ASUN),32,16-16,"2,168",67.8,"2,266",70.8,-3.1
83,North Texas (Sun Belt),32,18-14,"2,250",70.3,"2,080",65,5.3
247,Northeastern (CAA),31,14-17,"1,941",62.6,"2,030",65.5,-2.9
311,Northern Ariz. (Big Sky),29,5-24,"1,804",62.2,"2,068",71.3,-9.1
251,Northern Colo. (Big Sky),28,9-19,"2,026",72.4,"2,112",75.4,-3.1
328,Northern Ill. (MAC),31,5-26,"1,716",55.4,"2,096",67.6,-12.3
177,Northwestern St. (Southland),32,16-16,"2,259",70.6,"2,239",70,0.6
168,Northwestern (Big Ten),33,19-14,"2,286",69.3,"2,252",68.2,1
90,Notre Dame (AAC),34,22-12,"2,257",66.4,"2,095",61.6,4.8
163,Oakland (Summit League),36,20-16,"2,875",79.9,"2,831",78.6,1.2
2,Ohio St. (Big Ten),39,31-8,"2,913",74.7,"2,333",59.8,14.9
46,Ohio (MAC),37,29-8,"2,597",70.2,"2,311",62.5,7.7
212,Oklahoma St. (Big 12),33,15-18,"2,209",66.9,"2,247",68.1,-1.2
178,Oklahoma (Big 12),31,15-16,"2,142",69.1,"2,123",68.5,0.6
114,Old Dominion (CAA),36,22-14,"2,368",65.8,"2,234",62.1,3.7
171,Ole Miss (SEC),34,20-14,"2,275",66.9,"2,250",66.2,0.7
58,Oral Roberts (Summit League),34,27-7,"2,467",72.6,"2,238",65.8,6.7
68,Oregon St. (Pac-12),36,21-15,"2,841",78.9,"2,617",72.7,6.2
80,Oregon (Pac-12),34,24-10,"2,527",74.3,"2,341",68.9,5.5
268,Pacific (Big West),30,11-19,"1,888",62.9,"2,022",67.4,-4.5
265,Penn St. (Big Ten),32,12-20,"1,977",61.8,"2,106",65.8,-4
164,Penn (Ivy League),33,20-13,"2,146",65,"2,106",63.8,1.2
289,Pepperdine (WCC),29,10-19,"1,719",59.3,"1,911",65.9,-6.6
117,Pittsburgh (AAC),39,22-17,"2,692",69,"2,554",65.5,3.5
131,Portland St. (Big Sky),32,17-15,"2,438",76.2,"2,345",73.3,2.9
322,Portland (WCC),31,7-24,"2,018",65.1,"2,357",76,-10.9
243,Prairie View (SWAC),32,14-18,"2,016",63,"2,101",65.7,-2.7
98,Princeton (Ivy League),32,20-12,"2,141",66.9,"1,999",62.5,4.4
199,Providence (AAC),32,15-17,"2,203",68.8,"2,216",69.3,-0.4
271,Purdue Fort Wayne (Summit League),30,11-19,"2,100",70,"2,242",74.7,-4.7
74,Purdue (Big Ten),35,22-13,"2,514",71.8,"2,310",66,5.8
111,Quinnipiac (NEC),32,18-14,"2,271",71,"2,150",67.2,3.8
301,Radford (Big South),32,6-26,"1,959",61.2,"2,195",68.6,-7.4
292,Rhode Island (Atlantic 10),31,7-24,"2,126",68.6,"2,339",75.5,-6.9
120,Rice (C-USA),35,19-16,"2,438",69.7,"2,322",66.3,3.3
150,Richmond (Atlantic 10),32,16-16,"2,207",69,"2,149",67.2,1.8
248,Rider (MAAC),32,13-19,"2,291",71.6,"2,387",74.6,-3
87,Robert Morris (NEC),37,26-11,"2,532",68.4,"2,348",63.5,5
196,Rutgers (AAC),32,14-18,"2,095",65.5,"2,106",65.8,-0.3
235,Sacramento St. (Big Sky),28,10-18,"1,875",67,"1,936",69.1,-2.2
216,Sacred Heart (NEC),32,14-18,"2,277",71.2,"2,319",72.5,-1.3
309,Saint Francis (PA) (NEC),29,6-23,"1,763",60.8,"2,017",69.6,-8.8
108,Saint Joseph's (Atlantic 10),34,20-14,"2,446",71.9,"2,310",67.9,4
14,Saint Louis (Atlantic 10),34,26-8,"2,336",68.7,"1,960",57.6,11.1
11,Saint Mary's (CA) (WCC),33,27-6,"2,467",74.8,"2,068",62.7,12.1
322,Saint Peter's (MAAC),31,5-26,"1,799",58,"2,138",69,-10.9
232,Sam Houston (Southland),32,13-19,"1,875",58.6,"1,941",60.7,-2.1
259,Samford (SoCon),30,11-19,"1,984",66.1,"2,092",69.7,-3.6
51,San Diego St. (Mountain West),34,26-8,"2,416",71.1,"2,166",63.7,7.4
254,San Diego (WCC),31,13-18,"2,079",67.1,"2,179",70.3,-3.2
100,San Francisco (WCC),34,20-14,"2,563",75.4,"2,415",71,4.4
278,San Jose St. (WAC),31,9-22,"2,099",67.7,"2,261",72.9,-5.2
280,Santa Clara (WCC),30,8-22,"2,085",69.5,"2,245",74.8,-5.3
103,Savannah St. (MEAC),33,21-12,"2,089",63.3,"1,949",59.1,4.2
95,Seton Hall (AAC),34,21-13,"2,324",68.4,"2,170",63.8,4.5
54,SFA (Southland),32,20-12,"1,970",61.6,"1,741",54.4,7.2
244,Siena (MAAC),31,14-17,"1,975",63.7,"2,061",66.5,-2.8
199,SMU (C-USA),32,13-19,"1,909",59.7,"1,922",60.1,-0.4
201,South Alabama (Sun Belt),29,17-12,"1,935",66.7,"1,947",67.1,-0.4
331,South Carolina St. (MEAC),31,5-26,"2,001",64.5,"2,391",77.1,-12.6
260,South Carolina (SEC),31,10-21,"1,903",61.4,"2,015",65,-3.6
21,South Dakota St. (Summit League),35,27-8,"2,689",76.8,"2,329",66.5,10.3
137,South Fla. (AAC),36,22-14,"2,134",59.3,"2,037",56.6,2.7
173,Southeast Mo. St. (OVC),31,15-16,"2,192",70.7,"2,170",70,0.7
227,Southeastern La. (Southland),29,12-17,"1,738",59.9,"1,795",61.9,-2
296,Southern California (Pac-12),32,6-26,"1,683",52.6,"1,910",59.7,-7.1
288,Southern Ill. (MVC),31,8-23,"1,944",62.7,"2,144",69.2,-6.5
66,Southern Miss. (C-USA),34,25-9,"2,426",71.4,"2,212",65.1,6.3
255,Southern U. (SWAC),31,17-14,"1,879",60.6,"1,981",63.9,-3.3
236,Southern Utah (Summit League),31,14-17,"2,038",65.7,"2,106",67.9,-2.2
81,St. Bonaventure (Atlantic 10),32,20-12,"2,254",70.4,"2,081",65,5.4
172,St. Francis Brooklyn (NEC),30,15-15,"2,084",69.5,"2,062",68.7,0.7
267,St. John's (NY) (AAC),32,13-19,"2,129",66.5,"2,268",70.9,-4.3
39,Stanford (Pac-12),37,26-11,"2,657",71.8,"2,337",63.2,8.6
287,Stetson (ASUN),29,9-20,"2,089",72,"2,275",78.4,-6.4
52,Stony Brook (America East),32,22-10,"2,125",66.4,"1,892",59.1,7.3
8,Syracuse (AAC),37,34-3,"2,740",74.1,"2,257",61,13.1
189,TCU (Mountain West),33,18-15,"2,382",72.2,"2,379",72.1,0.1
78,Temple (Atlantic 10),32,24-8,"2,401",75,"2,225",69.5,5.5
158,Tennessee St. (OVC),33,20-13,"2,250",68.2,"2,199",66.6,1.5
184,Tennessee Tech (OVC),33,19-14,"2,365",71.7,"2,357",71.4,0.2
116,Tennessee (SEC),34,19-15,"2,338",68.8,"2,216",65.2,3.6
197,Texas A&M (Big 12),32,14-18,"1,956",61.1,"1,968",61.5,-0.4
220,Texas Southern (SWAC),33,15-18,"2,021",61.2,"2,073",62.8,-1.6
155,Texas St. (Southland),30,13-17,"2,292",76.4,"2,243",74.8,1.6
307,Texas Tech (Big 12),31,8-23,"1,844",59.5,"2,114",68.2,-8.7
72,Texas (Big 12),34,20-14,"2,470",72.6,"2,270",66.8,5.9
303,The Citadel (SoCon),30,6-24,"1,925",64.2,"2,158",71.9,-7.8
121,Toledo (MAC),36,19-17,"2,502",69.5,"2,385",66.3,3.3
338,Towson (CAA),32,1-31,"1,647",51.5,"2,231",69.7,-18.3
269,Troy (Sun Belt),28,10-18,"1,996",71.3,"2,122",75.8,-4.5
128,Tulane (C-USA),31,15-16,"2,002",64.6,"1,910",61.6,3
128,Tulsa (C-USA),31,17-14,"2,093",67.5,"2,001",64.5,3
208,UAB (C-USA),31,15-16,"1,875",60.5,"1,907",61.5,-1
329,UC Davis (Big West),31,5-26,"1,924",62.1,"2,307",74.4,-12.4
266,UC Irvine (Big West),32,12-20,"2,179",68.1,"2,309",72.2,-4.1
261,UC Riverside (Big West),31,14-17,"1,841",59.4,"1,954",63,-3.6
63,UC Santa Barbara (Big West),31,20-11,"2,262",73,"2,059",66.4,6.5
145,UCF (C-USA),33,22-11,"2,166",65.6,"2,096",63.5,2.1
70,UCLA (Pac-12),33,19-14,"2,263",68.6,"2,063",62.5,6.1
104,UConn (AAC),34,20-14,"2,336",68.7,"2,193",64.5,4.2
294,UIC (Horizon),30,8-22,"1,826",60.9,"2,033",67.8,-6.9
325,ULM (Sun Belt),29,3-26,"1,750",60.3,"2,078",71.7,-11.3
333,UMBC (America East),30,4-26,"1,897",63.2,"2,312",77.1,-13.8
321,UMES (MEAC),30,7-23,"1,785",59.5,"2,109",70.3,-10.8
32,UNC Asheville (Big South),34,24-10,"2,745",80.7,"2,426",71.4,9.4
295,UNC Greensboro (SoCon),32,13-19,"2,231",69.7,"2,457",76.8,-7.1
283,UNCW (CAA),31,10-21,"2,013",64.9,"2,189",70.6,-5.7
122,UNI (MVC),34,20-14,"2,216",65.2,"2,106",61.9,3.2
20,UNLV (Mountain West),35,26-9,"2,671",76.3,"2,307",65.9,10.4
124,USC Upstate (ASUN),34,21-13,"2,426",71.4,"2,321",68.3,3.1
35,UT Arlington (Southland),33,24-9,"2,537",76.9,"2,232",67.6,9.2
330,UT Martin (OVC),31,4-27,"1,943",62.7,"2,327",75.1,-12.4
107,Utah St. (WAC),37,21-16,"2,551",68.9,"2,400",64.9,4.1
118,Utah Valley (GWC),33,20-13,"2,305",69.8,"2,190",66.4,3.5
335,Utah (Pac-12),31,6-25,"1,720",55.5,"2,161",69.7,-14.2
191,UTEP (C-USA),32,15-17,"2,021",63.2,"2,019",63.1,0.1
286,UTRGV (GWC),32,11-21,"1,993",62.3,"2,194",68.6,-6.3
82,UTSA (Southland),32,18-14,"2,339",73.1,"2,168",67.8,5.3
130,Valparaiso (Horizon),34,22-12,"2,323",68.3,"2,223",65.4,2.9
47,Vanderbilt (SEC),36,25-11,"2,615",72.6,"2,339",65,7.7
43,VCU (CAA),36,29-7,"2,448",68,"2,154",59.8,8.2
69,Vermont (America East),36,24-12,"2,415",67.1,"2,193",60.9,6.2
183,Villanova (AAC),32,13-19,"2,266",70.8,"2,258",70.6,0.3
135,Virginia Tech (ACC),33,16-17,"2,147",65.1,"2,057",62.3,2.7
41,Virginia (ACC),32,22-10,"2,000",62.5,"1,735",54.2,8.3
206,VMI (Big South),33,17-16,"2,631",79.7,"2,660",80.6,-0.9
37,Wagner (NEC),31,25-6,"2,275",73.4,"1,993",64.3,9.1
276,Wake Forest (ACC),31,13-18,"2,029",65.5,"2,182",70.4,-4.9
136,Washington St. (Pac-12),37,19-18,"2,521",68.1,"2,421",65.4,2.7
77,Washington (Pac-12),35,24-11,"2,646",75.6,"2,453",70.1,5.5
42,Weber St. (Big Sky),32,25-7,"2,473",77.3,"2,210",69.1,8.2
91,West Virginia (AAC),33,19-14,"2,346",71.1,"2,194",66.5,4.6
162,Western Caro. (SoCon),35,17-18,"2,503",71.5,"2,459",70.3,1.3
159,Western Ill. (Summit League),33,18-15,"2,031",61.5,"1,985",60.2,1.4
252,Western Ky. (Sun Belt),35,16-19,"2,272",64.9,"2,383",68.1,-3.2
215,Western Mich. (MAC),34,14-20,"2,332",68.6,"2,375",69.9,-1.3
3,Wichita St. (MVC),33,27-6,"2,545",77.1,"2,060",62.4,14.7
310,William & Mary (CAA),32,6-26,"1,931",60.3,"2,220",69.4,-9
240,Winthrop (Big South),32,12-20,"2,035",63.6,"2,112",66,-2.4
17,Wisconsin (Big Ten),36,26-10,"2,304",64,"1,915",53.2,10.8
174,Wofford (SoCon),33,19-14,"2,110",63.9,"2,087",63.2,0.7
257,Wright St. (Horizon),32,13-19,"1,857",58,"1,967",61.5,-3.4
64,Wyoming (Mountain West),33,21-12,"2,068",62.7,"1,855",56.2,6.5
119,Xavier (Atlantic 10),36,23-13,"2,543",70.6,"2,422",67.3,3.4
110,Yale (Ivy League),29,19-10,"1,991",68.7,"1,878",64.8,3.9
157,Youngstown St. (Horizon),31,16-15,"2,095",67.6,"2,047",66,1.5
